Date,Veg,Pettah_wholesale,Dambulla_wholesale,Pettah_retail,Dambulla_retail
16-May-19,Brinjal,100,83,160,103
17-May-19,Beans,160,175,200,195
17-May-19,Carrot,140,138,200,158
17-May-19,Cabbage,53,58,95,78
17-May-19,Tomatoes,90,85,130,105
17-May-19,Brinjal,100,105,160,125
21-May-19,Beans,180,151,220,171
21-May-19,Carrot,140,205,180,225
21-May-19,Cabbage,60,95,100,115
21-May-19,Tomatoes,100,85,140,105
21-May-19,Brinjal,140,125,170,145
22-May-19,Beans,180,115,220,135
22-May-19,Carrot,140,135,180,155
22-May-19,Cabbage,60,68,100,88
22-May-19,Tomatoes,100,48,140,68
22-May-19,Brinjal,140,110,170,133
23-May-19,Beans,180,93,240,113
23-May-19,Carrot,140,185,180,205
23-May-19,Cabbage,70,55,110,75
23-May-19,Tomatoes,75,63,110,83
23-May-19,Brinjal,120,115,160,135
24-May-19,Beans,160,88,200,108
24-May-19,Carrot,160,175,200,195
24-May-19,Cabbage,70,75,100,95
24-May-19,Tomatoes,70,65,110,85
24-May-19,Brinjal,120,105,160,125
27-May-19,Beans,140,145,180,165
27-May-19,Carrot,150,143,180,163
27-May-19,Cabbage,70,63,110,83
27-May-19,Tomatoes,70,68,120,88
27-May-19,Brinjal,120,113,160,133
28-May-19,Beans,145,175,180,195
28-May-19,Carrot,150,145,180,165
28-May-19,Cabbage,70,68,110,88
28-May-19,Tomatoes,75,58,120,78
28-May-19,Brinjal,120,125,160,145
29-May-19,Beans,155,165,190,185
29-May-19,Carrot,150,145,180,165
29-May-19,Cabbage,70,63,110,83
29-May-19,Tomatoes,80,58,120,78
29-May-19,Brinjal,120,105,160,125
30-May-19,Beans,150,170,190,193
30-May-19,Carrot,150,135,190,190
30-May-19,Cabbage,70,55,55,75
30-May-19,Tomatoes,75,55,110,110
30-May-19,Brinjal,120,85,160,105
31-May-19,Beans,140,165,180,185
31-May-19,Carrot,150,125,180,145
31-May-19,Cabbage,55,55,90,75
31-May-19,Tomatoes,65,38,100,58
31-May-19,Brinjal,80,63,100,83
3-Jun-19,Beans,170,165,240,185
3-Jun-19,Carrot,140,130,190,153
3-Jun-19,Cabbage,60,58,100,78
3-Jun-19,Tomatoes,40,35,80,55
3-Jun-19,Brinjal,75,83,120,103
4-Jun-19,Beans,n.a.,145,n.a.,165
4-Jun-19,Carrot,n.a.,173,n.a.,193
4-Jun-19,Cabbage,n.a.,48,n.a.,68
4-Jun-19,Tomatoes,n.a.,41,n.a.,61
4-Jun-19,Brinjal,n.a.,53,n.a.,73
6-Jun-19,Beans,140,158,180,178
6-Jun-19,Carrot,140,121,180,141
6-Jun-19,Cabbage,60,61,90,58
6-Jun-19,Tomatoes,45,38,80,178
6-Jun-19,Brinjal,50,63,100,83
7-Jun-19,Beans,140,155,180,175
7-Jun-19,Carrot,140,155,190,175
7-Jun-19,Cabbage,60,58,90,78
7-Jun-19,Tomatoes,40,18,80,38
7-Jun-19,Brinjal,50,53,90,73
10-Jun-19,Beans,140,175,170,195
10-Jun-19,Carrot,140,115,150,135
10-Jun-19,Cabbage,60,48,100,68
10-Jun-19,Tomatoes,40,33,75,53
10-Jun-19,Brinjal,50,55,95,75
11-Jun-19,Beans,170,145,200,165
11-Jun-19,Carrot,120,125,160,145
11-Jun-19,Cabbage,60,48,100,68
11-Jun-19,Tomatoes,40,28,70,48
11-Jun-19,Brinjal,50,55,80,75
12-Jun-19,Beans,160,115,200,130
12-Jun-19,Carrot,120,125,170,145
12-Jun-19,Cabbage,60,48,80,68
12-Jun-19,Tomatoes,50,23,70,43
12-Jun-19,Brinjal,70,48,100,68
13-Jun-19,Beans,130,145,160,165
13-Jun-19,Carrot,120,143,160,160
13-Jun-19,Cabbage,50,48,90,68
13-Jun-19,Tomatoes,50,34,80,54
13-Jun-19,Brinjal,70,58,100,78
14-Jun-19,Beans,140,135,180,155
14-Jun-19,Carrot,120,125,160,145
14-Jun-19,Cabbage,50,55,80,75
14-Jun-19,Tomatoes,40,28,60,48
14-Jun-19,Brinjal,70,68,100,88
17-Jun-19,Beans,130,115,160,135
17-Jun-19,Carrot,130,125,180,145
17-Jun-19,Cabbage,50,33,90,53
17-Jun-19,Tomatoes,50,23,80,43
17-Jun-19,Brinjal,70,48,100,68
18-Jun-19,Beans,130,n.a.,160,n.a.
18-Jun-19,Carrot,120,145,160,165
18-Jun-19,Cabbage,50,48,90,68
18-Jun-19,Tomatoes,50,38,80,58
18-Jun-19,Brinjal,70,75,100,95
19-Jun-19,Beans,120,93,160,115
19-Jun-19,Carrot,140,145,180,165
19-Jun-19,Cabbage,50,43,90,63
19-Jun-19,Tomatoes,50,33,80,53
19-Jun-19,Brinjal,70,78,100,98
20-Jun-19,Beans,120,85,160,105
20-Jun-19,Carrot,150,115,180,135
20-Jun-19,Cabbage,50,33,90,53
20-Jun-19,Tomatoes,50,28,80,48
20-Jun-19,Brinjal,60,45,90,65
21-Jun-19,Beans,120,115,160,135
21-Jun-19,Carrot,130,133,170,153
21-Jun-19,Cabbage,50,33,90,53
21-Jun-19,Tomatoes,50,29,80,48
21-Jun-19,Brinjal,60,45,95,65
24-Jun-19,Beans,70,95,100,115
24-Jun-19,Carrot,140,128,160,148
24-Jun-19,Cabbage,50,33,80,80
24-Jun-19,Tomatoes,30,28,60,48
24-Jun-19,Brinjal,50,55,90,75
25-Jun-19,Beans,75,65,110,85
25-Jun-19,Carrot,140,128,160,148
25-Jun-19,Cabbage,50,44,80,64
25-Jun-19,Tomatoes,30,38,60,58
25-Jun-19,Brinjal,55,58,110,78
26-Jun-19,Beans,80,95,120,115
26-Jun-19,Carrot,130,115,155,155
26-Jun-19,Cabbage,50,25,80,45
26-Jun-19,Tomatoes,30,28,60,48
26-Jun-19,Brinjal,50,63,90,83
27-Jun-19,Beans,55,78,100,98
27-Jun-19,Carrot,120,123,150,150
27-Jun-19,Cabbage,35,38,65,58
27-Jun-19,Tomatoes,35,38,65,58
27-Jun-19,Brinjal,50,45,80,65
28-Jun-19,Beans,80,75,110,95
28-Jun-19,Carrot,130,115,160,135
28-Jun-19,Cabbage,40,38,65,58
28-Jun-19,Tomatoes,35,33,65,53
28-Jun-19,Brinjal,50,55,80,75
1-Jul-19,Beans,100,85,140,105
1-Jul-19,Carrot,120,115,160,135
1-Jul-19,Cabbage,40,33,65,53
1-Jul-19,Tomatoes,75,55,110,75
1-Jul-19,Brinjal,70,55,100,75
2-Jul-19,Beans,90,85,120,105
2-Jul-19,Carrot,130,125,160,145
2-Jul-19,Cabbage,40,33,70,53
2-Jul-19,Tomatoes,60,68,100,88
2-Jul-19,Brinjal,55,85,90,105
3-Jul-19,Beans,75,83,110,103
3-Jul-19,Carrot,130,128,160,148
3-Jul-19,Cabbage,40,29,70,49
3-Jul-19,Tomatoes,60,58,100,100
3-Jul-19,Brinjal,50,75,80,95
4-Jul-19,Beans,75,85,110,105
4-Jul-19,Carrot,130,155,160,175
4-Jul-19,Cabbage,40,38,70,58
4-Jul-19,Tomatoes,60,63,100,83
4-Jul-19,Brinjal,55,45,90,65
5-Jul-19,Beans,75,83,120,103
5-Jul-19,Carrot,130,158,160,178
5-Jul-19,Cabbage,40,28,65,48
5-Jul-19,Tomatoes,55,38,95,58
5-Jul-19,Brinjal,60,48,100,68
8-Jul-19,Beans,100,75,145,95
8-Jul-19,Carrot,130,135,160,155
8-Jul-19,Cabbage,40,28,65,48
8-Jul-19,Tomatoes,50,43,90,63
8-Jul-19,Brinjal,60,48,100,68
9-Jul-19,Beans,100,85,140,105
9-Jul-19,Carrot,130,135,160,155
9-Jul-19,Cabbage,40,28,65,48
9-Jul-19,Tomatoes,55,38,80,58
9-Jul-19,Brinjal,60,73,100,93
10-Jul-19,Beans,100,98,140,118
10-Jul-19,Carrot,125,145,155,165
10-Jul-19,Cabbage,40,23,65,43
10-Jul-19,Tomatoes,50,48,80,68
10-Jul-19,Brinjal,68,63,100,83
11-Jul-19,Beans,80,78,120,98
11-Jul-19,Carrot,120,125,150,145
11-Jul-19,Cabbage,40,29,65,49
11-Jul-19,Tomatoes,50,45,80,65
11-Jul-19,Brinjal,60,55,100,75
12-Jul-19,Beans,70,85,100,105
12-Jul-19,Carrot,120,143,150,163
12-Jul-19,Cabbage,40,23,65,43
12-Jul-19,Tomatoes,50,33,80,53
12-Jul-19,Brinjal,60,75,100,95
15-Jul-19,Beans,80,105,110,125
15-Jul-19,Carrot,130,105,160,125
15-Jul-19,Cabbage,40,23,75,43
15-Jul-19,Tomatoes,65,48,95,68
15-Jul-19,Brinjal,80,75,110,95
17-Jul-19,Beans,80,105,120,125
17-Jul-19,Carrot,130,115,160,135
17-Jul-19,Cabbage,40,38,65,58
17-Jul-19,Tomatoes,60,38,100,58
17-Jul-19,Brinjal,80,75,110,95
18-Jul-19,Beans,90,95,120,115
18-Jul-19,Carrot,125,123,155,143
18-Jul-19,Cabbage,40,33,65,53
18-Jul-19,Tomatoes,70,53,100,73
18-Jul-19,Brinjal,80,63,120,83
22-Jul-19,Beans,90,128,120,143
22-Jul-19,Carrot,100,125,130,145
22-Jul-19,Cabbage,35,28,60,48
22-Jul-19,Tomatoes,55,60,90,80
22-Jul-19,Brinjal,75,45,110,65
23-Jul-19,Beans,90,175,120,195
23-Jul-19,Carrot,95,95,125,115
23-Jul-19,Cabbage,35,28,60,48
23-Jul-19,Tomatoes,55,58,90,78
23-Jul-19,Brinjal,75,55,110,75
24-Jul-19,Beans,120,105,155,125
